0	0	0
0.010004	0.000747	0.000765
0.020017	0.001494	0.00153
0.030037	0.002241	0.002296
0.040066	0.002989	0.003061
0.050104	0.003736	0.003827
0.060149	0.004483	0.004592
0.070204	0.005229	0.005356
0.080266	0.005975	0.00612
0.090337	0.006719	0.006883
0.100416	0.007463	0.007645
0.110503	0.008205	0.008406
0.120599	0.008947	0.009165
0.130704	0.009686	0.009923
0.140817	0.010425	0.010681
0.150938	0.011163	0.011436
0.161067	0.011899	0.012191
0.171206	0.012634	0.012944
0.181352	0.013367	0.013696
0.191507	0.0141	0.014447
0.201671	0.014832	0.015197
0.211843	0.015562	0.015946
0.222023	0.016292	0.016694
0.232212	0.01702	0.01744
0.24241	0.017747	0.018185
0.252616	0.018473	0.018929
0.262831	0.019198	0.019671
0.273054	0.019921	0.020411
0.283286	0.020643	0.02115
0.293526	0.021363	0.021888
0.303775	0.022082	0.022623
0.314032	0.022799	0.023357
0.324299	0.023516	0.02409
0.334573	0.024231	0.024821
0.344857	0.024945	0.025551
0.355149	0.025659	0.026281
0.365449	0.026373	0.02701
0.375759	0.027087	0.027739
0.386077	0.027802	0.028468
0.396404	0.028517	0.029197
0.406739	0.029233	0.029927
0.417083	0.02995	0.030658
0.427436	0.030669	0.03139
0.437798	0.031389	0.032123
0.448168	0.03211	0.032857
0.458547	0.032833	0.033592
0.468935	0.033558	0.034328
0.479332	0.034283	0.035065
0.489737	0.035008	0.035801
0.500151	0.035734	0.036537
0.510574	0.036458	0.037271
0.521006	0.037181	0.038003
0.531447	0.037901	0.038731
0.541896	0.038618	0.039455
0.552355	0.039329	0.040173
0.562822	0.040036	0.040885
0.573298	0.040736	0.04159
0.583783	0.04143	0.042288
0.594277	0.042117	0.042977
0.60478	0.042797	0.043659
0.615292	0.04347	0.044332
0.625812	0.044136	0.044998
0.636342	0.044797	0.045656
0.646881	0.045452	0.046307
0.657428	0.046102	0.046952
0.667985	0.046749	0.047591
0.67855	0.047392	0.048225
0.689125	0.048033	0.048854
0.699708	0.048674	0.049481
0.710301	0.049315	0.050105
0.720903	0.049957	0.050729
0.731513	0.050603	0.051353
0.742133	0.051253	0.051979
0.752762	0.051909	0.052607
0.7634	0.052572	0.053241
0.774047	0.053245	0.05388
0.784703	0.053928	0.054527
0.795368	0.054623	0.055183
0.806042	0.055333	0.05585
0.816726	0.056058	0.056529
0.827418	0.056801	0.057224
0.83812	0.057565	0.057936
0.848831	0.058353	0.058668
0.859551	0.059166	0.059424
0.87028	0.060008	0.060205
0.881019	0.060883	0.061016
0.891767	0.061794	0.06186
0.902524	0.062743	0.06274
0.91329	0.063734	0.06366
0.924066	0.06477	0.064622
0.93485	0.065854	0.065629
0.945645	0.066987	0.066685
0.956448	0.068171	0.06779
0.967261	0.069407	0.068946
0.978083	0.070695	0.070153
0.988914	0.072036	0.071412
0.999755	0.073427	0.072722
1.010605	0.074866	0.074081
1.021464	0.076352	0.075486
1.032333	0.07788	0.076935
1.043211	0.079446	0.078424
