0	0	0
0.010004	0.000621	0.00063
0.020017	0.001243	0.00126
0.030037	0.001865	0.001891
0.040066	0.002487	0.002522
0.050104	0.003109	0.003152
0.060149	0.00373	0.003783
0.070204	0.004352	0.004413
0.080266	0.004973	0.005043
0.090337	0.005594	0.005673
0.100416	0.006214	0.006302
0.110503	0.006834	0.00693
0.120599	0.007454	0.007558
0.130704	0.008072	0.008185
0.140817	0.008691	0.008811
0.150938	0.009308	0.009437
0.161067	0.009925	0.010062
0.171206	0.010541	0.010686
0.181352	0.011156	0.011309
0.191507	0.01177	0.011931
0.201671	0.012384	0.012552
0.211843	0.012996	0.013171
0.222023	0.013607	0.01379
0.232212	0.014218	0.014407
0.24241	0.014827	0.015023
0.252616	0.015435	0.015637
0.262831	0.016042	0.01625
0.273054	0.016647	0.016862
0.283286	0.017252	0.017472
0.293526	0.017855	0.01808
0.303775	0.018457	0.018687
0.314032	0.019058	0.019293
0.324299	0.019658	0.019897
0.334573	0.020257	0.0205
0.344857	0.020856	0.021101
0.355149	0.021453	0.021701
0.365449	0.02205	0.0223
0.375759	0.022646	0.022897
0.386077	0.023241	0.023493
0.396404	0.023835	0.024086
0.406739	0.024428	0.024679
0.417083	0.025021	0.025269
0.427436	0.025613	0.025858
0.437798	0.026204	0.026446
0.448168	0.026796	0.027032
0.458547	0.027387	0.027617
0.468935	0.027979	0.028202
0.479332	0.028572	0.028786
0.489737	0.029167	0.029371
0.500151	0.029765	0.029958
0.510574	0.030366	0.030546
0.521006	0.030973	0.031138
0.531447	0.031586	0.031736
0.541896	0.032208	0.032339
0.552355	0.032839	0.032951
0.562822	0.033483	0.033573
0.573298	0.034141	0.034208
0.583783	0.034816	0.034858
0.594277	0.03551	0.035524
0.60478	0.036227	0.036211
0.615292	0.036968	0.036921
0.625812	0.037737	0.037656
0.636342	0.038538	0.03842
0.646881	0.039372	0.039215
0.657428	0.040242	0.040045
0.667985	0.041153	0.040913
0.67855	0.042105	0.04182
0.689125	0.043103	0.04277
0.699708	0.044147	0.043764
0.710301	0.045239	0.044805
0.720903	0.046381	0.045894
0.731513	0.047573	0.047031
0.742133	0.048816	0.048217
0.752762	0.050108	0.049451
0.7634	0.051449	0.050733
0.774047	0.052838	0.052062
0.784703	0.054271	0.053436
0.795368	0.055746	0.054852
0.806042	0.05726	0.056307
0.816726	0.058809	0.057798
0.827418	0.060388	0.059322
0.83812	0.061995	0.060874
0.848831	0.063623	0.062451
0.859551	0.06527	0.064047
0.87028	0.066929	0.06566
0.881019	0.068596	0.067284
0.891767	0.070268	0.068916
0.902524	0.07194	0.070551
0.91329	0.073607	0.072185
0.924066	0.075267	0.073815
0.93485	0.076916	0.075437
0.945645	0.078551	0.077048
0.956448	0.080169	0.078645
0.967261	0.081766	0.080224
0.978083	0.083342	0.081784
0.988914	0.084893	0.083322
0.999755	0.086419	0.084836
1.010605	0.087917	0.086324
1.021464	0.089388	0.087785
1.032333	0.090831	0.08922
1.043211	0.092246	0.090626
1.054099	0.093634	0.092005
1.064996	0.094996	0.093357
1.075902	0.096333	0.094684
1.086818	0.097648	0.095986
1.097744	0.098944	0.097268
1.108678	0.100226	0.098531
1.119623	0.101498	0.099781
1.130576	0.102764	0.101021
1.14154	0.104032	0.102258
1.152512	0.105305	0.103495
1.163495	0.106591	0.104738
1.174487	0.107894	0.105992
1.185488	0.109218	0.107262
1.196499	0.110569	0.108552
1.20752	0.111949	0.109865
1.21855	0.113361	0.111203
1.22959	0.114806	0.11257
1.240639	0.116288	0.113966
1.251698	0.117806	0.115393
1.262767	0.11936	0.116852
1.273845	0.120952	0.118342
1.284933	0.122581	0.119863
1.296031	0.124246	0.121416
1.307138	0.125947	0.122999
1.318255	0.127684	0.124613
1.329382	0.129456	0.126256
1.340518	0.131264	0.127929
1.351664	0.133107	0.129632
1.36282	0.134986	0.131364
1.373986	0.136902	0.133128
1.385162	0.138856	0.134922
1.396347	0.14085	0.13675
1.407542	0.142885	0.138612
1.418747	0.144962	0.14051
1.429962	0.147084	0.142444
1.441186	0.149252	0.144418
1.452421	0.151469	0.146432
1.463665	0.153736	0.148488
1.47492	0.156054	0.150588
1.486184	0.158427	0.152732
1.497458	0.160854	0.154924
1.508742	0.163338	0.157164
1.520036	0.16588	0.159453
1.531339	0.168483	0.161793
1.542653	0.171147	0.164186
1.553977	0.173875	0.166633
1.565311	0.176668	0.169136
1.576655	0.179527	0.171695
1.588008	0.182453	0.174312
1.599372	0.185445	0.176985
1.610746	0.188504	0.179715
1.62213	0.191626	0.182499
1.633524	0.194809	0.185336
1.644928	0.198051	0.188221
1.656342	0.201347	0.191151
1.667767	0.204695	0.194123
1.679201	0.208094	0.197136
1.690646	0.211542	0.200187
1.7021	0.215041	0.203277
1.713565	0.218594	0.206408
1.72504	0.222205	0.209584
1.736525	0.225882	0.212809
1.748021	0.229631	0.216092
1.759526	0.233461	0.219438
1.771042	0.237381	0.222855
1.782568	0.241398	0.22635
1.794105	0.24552	0.22993
1.805651	0.249753	0.233601
1.817208	0.254104	0.237367
1.828776	0.258577	0.241234
1.840353	0.263177	0.245204
1.851941	0.267909	0.249282
