       0.000000       1.881044       0.444859
       0.050000       1.880000       0.444859
       0.100000       1.885000       0.444859
       0.150000       1.885000       0.444859
       0.200000       1.890000       0.444859
       0.250000       1.900000       0.444859
       0.300000       1.905000       0.444859
       0.350000       1.920000       0.444859
       0.400000       1.935000       0.444859
       0.450000       1.955000       0.444859
       0.500000       1.975000       0.444859
       0.550000       2.005000       0.444859
       0.600000       2.045000       0.444859
       0.650000       2.090000       0.444859
       0.700000       2.145000       0.444859
       0.750000       2.220000       0.444859
       0.800000       2.310000       0.444859
       0.850000       2.430000       0.444859
       0.900000       2.615000       0.444859
       0.950000       2.805000       0.444859
       1.000000       3.005000       0.444859
       1.050000       3.205000       0.444859
       1.100000       3.415000       0.444859
       1.150000       1.881044       0.444859
       1.200000       1.881044       0.444859
